type,url,filter,listing_count,phase
listing,/restaurant/kissimmee/amber-indian-restaurant-5910801,license_key=5910801,1,2
listing,/restaurant/pt-orange/amber-s-jewel-catering-7405712,license_key=7405712,1,3
listing,/restaurant/melbourne/amc-avenue-16-1506544,license_key=1506544,1,1
listing,/restaurant/leesburg/amc-lake-square-12-west-4508753,license_key=4508753,1,1
listing,/restaurant/new-smyrna-beach/amc-new-smyrna-12-7407349,license_key=7407349,1,1
listing,/restaurant/port-st-lucie/amc-port-st-lucie-14-6603078,license_key=6603078,1,1
listing,/restaurant/lake-buena-vista/amc-theatres-downtown-disney-24-west-lobby-5812608,license_key=5812608,1,2
listing,/restaurant/altamonte-springs/amc-theatres-altamonte-18-6904788,license_key=6904788,1,1
listing,/restaurant/vero-beach/amc-theatres-indian-river-24-4105213,license_key=4105213,1,1
listing,/restaurant/ocoee/amc-theatres-west-oaks-14-5812300,license_key=5812300,1,1
listing,/restaurant/west-melbourne/amc-west-melbourne-12-1506481,license_key=1506481,1,1
listing,/restaurant/west-melbourne/america-s-best-value-inn-and-suites-1505898,license_key=1505898,1,1
listing,/restaurant/satellite-beach/america-s-best-value-inn-1505787,license_key=1505787,1,1
listing,/restaurant/bay-lake/american-adventure-epcot-5808143,license_key=5808143,1,2
listing,/restaurant/orlando/american-airlines-admirals-club-5814196,license_key=5814196,1,3
listing,/restaurant/port-st-lucie/american-cafe-6602724,license_key=6602724,1,2
listing,/restaurant/orlando/american-girl-5813604,license_key=5813604,1,1
listing,/restaurant/vero-beach/american-icon-brewery-4105344,license_key=4105344,1,1
listing,/restaurant/lake-buena-vista/american-kitchen-agave-fresco-pool-bar-5800816,license_key=5800816,1,3
listing,/restaurant/orlando/american-social-bar-kitchen-5814805,license_key=5814805,1,1
listing,/restaurant/orange-city/amf-deltona-402-7402847,license_key=7402847,1,1
listing,/restaurant/leesburg/amf-leesburg-401-4500505,license_key=4500505,1,3
listing,/restaurant/orlando/amf-sky-bowl-306-5800393,license_key=5800393,1,3
listing,/restaurant/melbourne/amicis-chefs-table-1505964,license_key=1505964,1,3
listing,/restaurant/lake-mary/amura-japanese-restaurant-6904491,license_key=6904491,1,3
listing,/restaurant/orlando/amway-fields-ultimate-lounge-5812492,license_key=5812492,1,3
listing,/restaurant/lake-buena-vista/anandapur-ice-cream-truck-5809681,license_key=5809681,1,3
listing,/restaurant/new-smyrna-beach/anchor-inn-7407090,license_key=7407090,1,2
listing,/restaurant/cocoa/anchor-seafood-and-chicken-2-1507256,license_key=1507256,1,3
listing,/restaurant/kissimmee/anchors-currents-cafe-5910916,license_key=5910916,1,3
listing,/restaurant/mims/andrei-s-at-walkabout-golf-club-corp-1506538,license_key=1506538,1,3
listing,/restaurant/orlando/andretti-indoor-karting-games-5814330,license_key=5814330,1,1
listing,/restaurant/daytona-beach/anejo-cocina-mexicana-7407731,license_key=7407731,1,1
listing,/restaurant/orlando/anf-gyro-location-2-5812768,license_key=5812768,1,3
listing,/restaurant/orlando/anf-gyro-location-3-5806350,license_key=5806350,1,3
listing,/restaurant/orlando/angel-s-restaurant-catering-5812869,license_key=5812869,1,3
listing,/restaurant/deland/angelina-s-pizzeria-7405364,license_key=7405364,1,1
listing,/restaurant/fort-pierce/angelina-s-pizzeria-6605078,license_key=6605078,1,2
listing,/restaurant/daytona-beach/angelo-s-pizza-house-llc-7407251,license_key=7407251,1,2
listing,/restaurant/orlando/anh-hong-restaurant-5809008,license_key=5809008,1,1
listing,/restaurant/lake-buena-vista/animal-kingdom-bakery-5808588,license_key=5808588,1,3
listing,/restaurant/lake-helen/ann-stevens-house-7407080,license_key=7407080,1,3
listing,/restaurant/daytona-beach/anna-s-italian-trattoria-7403781,license_key=7403781,1,3
listing,/restaurant/winter-park/anna-s-polish-restaurant-5810457,license_key=5810457,1,1
listing,/restaurant/palm-bay/anna-s-vegan-plate-1506463,license_key=1506463,1,2
listing,/restaurant/orlando/another-broken-egg-cafe-1103-5815156,license_key=5815156,1,1
listing,/restaurant/winterpark/another-broken-egg-cafe-5812825,license_key=5812825,1,1
